SVD_MovieID,SVD_Title,SVD_Genres,SVD_PredictedRating,PMF_MovieID,PMF_Title,PMF_Genres,PMF_PredictedRating
318,"Shawshank Redemption, The (1994)",Drama,4.3632731437683105,527,Schindler's List (1993),Drama|War,4.357635974884033
2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,4.338458061218262,1207,To Kill a Mockingbird (1962),Drama,4.346268177032471
858,"Godfather, The (1972)",Action|Crime|Drama,4.311169147491455,912,Casablanca (1942),Drama|Romance|War,4.309805870056152
527,Schindler's List (1993),Drama|War,4.3087544441223145,2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,4.28950834274292
50,"Usual Suspects, The (1995)",Crime|Thriller,4.30756139755249,905,It Happened One Night (1934),Comedy,4.273309230804443
1148,"Wrong Trousers, The (1993)",Animation|Comedy,4.299261569976807,904,Rear Window (1954),Mystery|Thriller,4.2676472663879395
745,"Close Shave, A (1995)",Animation|Comedy|Thriller,4.286320209503174,953,It's a Wonderful Life (1946),Drama,4.249269485473633
1198,Raiders of the Lost Ark (1981),Action|Adventure,4.2843194007873535,908,North by Northwest (1959),Drama|Thriller,4.247254371643066
2762,"Sixth Sense, The (1999)",Thriller,4.282351970672607,969,"African Queen, The (1951)",Action|Adventure|Romance|War,4.237246990203857
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,4.281566143035889,1148,"Wrong Trousers, The (1993)",Animation|Comedy,4.215011119842529
