SVD_MovieID,SVD_Title,SVD_Genres,SVD_PredictedRating,PMF_MovieID,PMF_Title,PMF_Genres,PMF_PredictedRating
557,Mamma Roma (1962),Drama,5.0,557,Mamma Roma (1962),Drama,5.0
2503,"Apple, The (Sib) (1998)",Drama,4.776172161102295,2503,"Apple, The (Sib) (1998)",Drama,4.776172161102295
787,"Gate of Heavenly Peace, The (1995)",Documentary,4.6894450187683105,787,"Gate of Heavenly Peace, The (1995)",Documentary,4.6894450187683105
3233,Smashing Time (1967),Comedy,4.624577522277832,3233,Smashing Time (1967),Comedy,4.624577522277832
989,Schlafes Bruder (Brother of Sleep) (1995),Drama,4.595421314239502,989,Schlafes Bruder (Brother of Sleep) (1995),Drama,4.595421314239502
2905,Sanjuro (1962),Action|Adventure,4.569018363952637,2905,Sanjuro (1962),Action|Adventure,4.569018363952637
3172,Ulysses (Ulisse) (1954),Adventure,4.5298075675964355,3172,Ulysses (Ulisse) (1954),Adventure,4.5298075675964355
3382,Song of Freedom (1936),Drama,4.524078369140625,3382,Song of Freedom (1936),Drama,4.524078369140625
2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,4.498239994049072,2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,4.498239994049072
1423,Hearts and Minds (1996),Drama,4.478806018829346,1423,Hearts and Minds (1996),Drama,4.478806018829346
