SVD_MovieID,SVD_Title,SVD_Genres,SVD_PredictedRating,PMF_MovieID,PMF_Title,PMF_Genres,PMF_PredictedRating
318,"Shawshank Redemption, The (1994)",Drama,4.644036769866943,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,4.501365661621094
858,"Godfather, The (1972)",Action|Crime|Drama,4.596125602722168,2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama,4.473893165588379
2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,4.5931925773620605,1148,"Wrong Trousers, The (1993)",Animation|Comedy,4.456757545471191
527,Schindler's List (1993),Drama|War,4.590196132659912,50,"Usual Suspects, The (1995)",Crime|Thriller,4.453221321105957
50,"Usual Suspects, The (1995)",Crime|Thriller,4.576888561248779,745,"Close Shave, A (1995)",Animation|Comedy|Thriller,4.421839714050293
745,"Close Shave, A (1995)",Animation|Comedy|Thriller,4.542680263519287,318,"Shawshank Redemption, The (1994)",Drama,4.41792106628418
1148,"Wrong Trousers, The (1993)",Animation|Comedy,4.535189151763916,720,Wallace & Gromit: The Best of Aardman Animation (1996),Animation,4.405311584472656
1198,Raiders of the Lost Ark (1981),Action|Adventure,4.501752853393555,53,Lamerica (1994),Drama,4.3694305419921875
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,4.501479148864746,2905,Sanjuro (1962),Action|Adventure,4.36100959777832
1207,To Kill a Mockingbird (1962),Drama,4.495499134063721,1246,Dead Poets Society (1989),Drama,4.351428508758545
